,citations,citations_rank,news,news_rank,twitter,twitter_rank,program,grant_id,type,n_dois,authors_count,award_amount
818,,,1.0,196.0,1.0,649.0,PCRP,PC040616,Postdoctoral Traineeship Award,7,5.428571428571429,0.124808
823,,,1.0,196.0,,,PCRP,PC040641,New Investigator Award,3,4.666666666666667,0.31907
874,53.5,254.0,1.0,196.0,1.0,649.0,PCRP,PC050010,Clinical Trial Award,2,8.0,0.918172
906,58.0,232.0,1.0,196.0,,,PCRP,PC050351,New Investigator Award,7,5.285714285714286,0.323977
918,,,1.0,196.0,,,PCRP,PC050485,Idea Development Award,9,6.777777777777778,0.579375
922,,,1.0,196.0,,,PCRP,PC050513,Postdoctoral Traineeship Award,5,15.25,0.101536
1478,8.0,1026.0,1.0,196.0,3.0,367.0,PCRP,PC093850,Idea Development Award,2,13.5,0.639165
1500,223.0,34.0,1.0,196.0,1.0,649.0,PCRP,PC094222,Prostate Cancer Training Award - Postdoctoral - PhD,2,3.5,0.1242
1999,6.0,1103.0,1.0,196.0,4.0,286.0,PCRP,PC140622,Idea Development Award - New Investigator Option,2,10.0,0.342254
1502,43.0,323.0,1.0,196.0,1.0,649.0,PCRP,PC094246,Prostate Cancer Training Award - Postdoctoral - PhD,1,3.0,0.115572
1809,17.0,752.0,1.0,196.0,10.5,143.0,PCRP,PC120803,Idea Development Award - New Investigator Option,3,14.0,0.364349
1814,18.545454545454547,704.0,1.0,196.0,5.428571428571429,246.0,PCRP,PC120857P1,Synergistic Idea Development Award,15,6.866666666666666,0.570618
1818,100.0,115.0,1.0,196.0,7.0,200.0,PCRP,PC120893,Synergistic Idea Development Award,2,7.0,0.751903
1819,68.0,189.0,1.0,196.0,9.0,166.0,PCRP,PC120893P3,Synergistic Idea Development Award,3,7.0,0.710596
1822,12.5,865.0,1.0,196.0,1.6666666666666667,605.0,PCRP,PC121018,Synergistic Idea Development Award,6,3.6666666666666665,0.523209
1838,97.0,123.0,1.0,196.0,16.0,94.0,PCRP,PC121382,Postdoctoral Training Award,2,6.5,0.124182
1860,67.66666666666667,193.0,1.0,196.0,2.0,495.0,PCRP,PC121719,Postdoctoral Training Award,3,13.0,0.11965
1884,7.333333333333333,1063.0,1.0,196.0,2.857142857142857,453.0,PCRP,PC130359,Idea Development Award - New Investigator Option,15,7.105263157894737,0.349125
1889,,,1.0,196.0,1.0,649.0,PCRP,PC130431,Laboratory - Clinical Transition Award,1,21.0,1.421999
1905,9.0,989.0,1.0,196.0,4.0,286.0,PCRP,PC130700,Synergistic Idea Development Award,1,7.0,0.590733
1906,9.0,989.0,1.0,196.0,4.0,286.0,PCRP,PC130700P1,Synergistic Idea Development Award,1,7.0,0.553016
1921,11.0,918.0,1.0,196.0,13.0,116.0,PCRP,PC131243,Idea Development Award - Established Investigator,2,7.0,0.63637
1924,2.0,1226.0,1.0,196.0,4.0,286.0,PCRP,PC131378,Exploration - Hypothesis Development Award,1,4.0,0.11459
1929,3.0,1198.0,1.0,196.0,,,PCRP,PC131522,Exploration - Hypothesis Development Award,1,7.0,0.113402
1935,13.0,851.0,1.0,196.0,58.0,21.0,PCRP,PC131773,Physician Research Training Award,1,31.0,0.894354
1978,191.75,43.0,1.0,196.0,52.0,24.0,PCRP,PC140318,Synergistic Idea Development Award,4,9.5,0.635819
1979,191.75,43.0,1.0,196.0,52.0,24.0,PCRP,PC140318P1,Synergistic Idea Development Award,4,9.0,0.30375
